kid_id mom_id dad_id kid_genome_wide_anubis_ancestry kid_coverage mom_genome_wide_anubis_ancestry mom_coverage dad_genome_wide_anubis_ancestry dad_coverage
AMB_135 AMB_111 AMB_315 0.475 1.241 0.341 1.094 0.593 1.064
AMB_115 AMB_105 AMB_315 0.415 0.802 0.32 1.217 0.593 1.064
AMB_119 AMB_126 AMB_315 0.391 0.846 0.28 0.997 0.593 1.064
AMB_415 AMB_257 AMB_315 0.546 0.995 0.368 1.349 0.593 1.064
AMB_136 AMB_126 AMB_315 0.447 0.948 0.28 0.997 0.593 1.064
AMB_064 AMB_289 AMB_010 0.553 0.766 0.563 1.761 0.531 1.028
AMB_259 AMB_256 AMB_010 0.453 0.927 0.313 1.241 0.531 1.028
AMB_321 AMB_338 AMB_016 0.375 1.116 0.396 0.824 0.356 1.263
AMB_388 AMB_131 AMB_017 0.371 0.919 0.378 1.326 0.36 1.298
AMB_413 AMB_105 AMB_017 0.344 1.036 0.32 1.217 0.36 1.298
AMB_356 AMB_059 AMB_024 0.394 0.861 0.384 1.032 0.446 0.843
AMB_086 AMB_096 AMB_026 0.304 0.958 0.294 1.083 0.299 0.86
AMB_100 AMB_120 AMB_026 0.31 0.832 0.283 1.319 0.299 0.86
AMB_155 AMB_158 AMB_026 0.323 0.968 0.304 1.338 0.299 0.86
AMB_414 AMB_105 AMB_027 0.506 1.07 0.32 1.217 0.707 1.123
AMB_116 AMB_111 AMB_031 0.299 1.48 0.341 1.094 0.302 1.402
AMB_385 AMB_188 AMB_031 0.307 1.08 0.338 0.921 0.302 1.402
AMB_434 AMB_406 AMB_295 0.306 0.893 0.302 0.845 0.398 1.378
AMB_357 AMB_135 AMB_039 0.609 0.809 0.475 1.241 0.707 0.827
AMB_329 AMB_093 AMB_039 0.526 0.791 0.309 1.13 0.707 0.827
AMB_092 AMB_372 AMB_039 0.62 0.763 0.474 0.947 0.707 0.827
AMB_072 AMB_070 AMB_047 0.302 1.301 0.302 1.08 0.289 1.051
AMB_053 AMB_061 AMB_047 0.283 1.222 0.289 1.197 0.289 1.051
AMB_125 AMB_136 AMB_293 0.523 1.065 0.447 0.948 0.795 0.657
AMB_117 AMB_352 AMB_293 0.454 1.29 0.343 1.104 0.795 0.657
AMB_015 AMB_274 AMB_293 0.388 1.07 0.281 1.222 0.795 0.657
AMB_283 AMB_114 AMB_293 0.581 1.58 0.495 1.143 0.795 0.657
AMB_251 AMB_263 AMB_055 0.297 1.302 0.295 0.983 0.276 0.913
AMB_269 AMB_251 AMB_056 0.321 0.908 0.297 1.302 0.297 1.067
AMB_118 AMB_097 AMB_056 0.299 0.751 0.285 0.898 0.297 1.067
AMB_104 AMB_111 AMB_056 0.326 1.162 0.341 1.094 0.297 1.067
AMB_373 AMB_333 AMB_062 0.548 1.076 0.444 0.906 0.642 0.943
AMB_179 AMB_181 AMB_081 0.294 0.976 0.305 0.959 0.28 1.08
AMB_322 AMB_037 AMB_081 0.283 1.066 0.303 1.018 0.28 1.08
AMB_101 AMB_100 AMB_083 0.307 1.115 0.31 0.832 0.306 1.073
AMB_029 AMB_041 AMB_292 0.376 1.556 0.481 1.252 0.312 3.268
AMB_204 AMB_245 AMB_292 0.29 1.041 0.287 1.245 0.312 3.268
AMB_270 AMB_264 AMB_104 0.319 1.16 0.317 1.354 0.326 1.162
AMB_175 AMB_179 AMB_104 0.322 0.908 0.294 0.976 0.326 1.162
AMB_280 AMB_279 AMB_118 0.4 1.084 0.477 1.104 0.299 0.751
AMB_308 AMB_238 AMB_118 0.575 1.338 0.598 1.236 0.299 0.751
AMB_206 AMB_245 AMB_119 0.339 1.294 0.287 1.245 0.391 0.846
AMB_243 AMB_242 AMB_119 0.408 0.763 0.344 0.874 0.391 0.846
AMB_220 AMB_305 AMB_119 0.326 1.577 0.377 1.531 0.391 0.846
AMB_403 AMB_209 AMB_119 0.374 0.76 0.306 1.24 0.391 0.846
AMB_033 AMB_333 AMB_119 0.439 1.093 0.444 0.906 0.391 0.846
AMB_080 AMB_237 AMB_121 0.326 0.724 0.279 1.243 0.35 1.197
AMB_411 AMB_242 AMB_121 0.364 0.933 0.344 0.874 0.35 1.197
AMB_279 AMB_238 AMB_140 0.477 1.104 0.598 1.236 0.3 0.769
AMB_166 AMB_160 AMB_142 0.298 1.137 0.32 1.17 0.287 1.058
AMB_193 AMB_185 AMB_145 0.483 1.08 0.434 0.974 0.476 0.997
