individual	population	SNPRCyellow	mikumi	kinda	chacma
1	1X3576	SNPRCanubis	0.207916279590837	0.0517096096867041	0.053610418845256	0.0349366218948836
2	1_1979	SNPRCanubis	0.209874078157084	0.0519507903639392	0.0519209418930301	0.0334889652618059
3	1X0014	SNPRCanubis	0.220511096217485	0.0633151707927675	0.0590306029761721	0.0403956662364822
4	1X0026	SNPRCanubis	0.202518103946639	0.0424697743694905	0.0462234547396676	0.0273002539155219
5	1X0035	SNPRCanubis	0.226370038328255	0.0696191757697549	0.0644244611101207	0.0441430747026627
6	1X0153	SNPRCanubis	0.214142953214599	0.0534044293011552	0.055001947128473	0.0358424674845749
7	1X0576	SNPRCanubis	0.177118124286334	0.0312658949844633	0.0352331360059453	0.0194866301785972
8	1X0580	SNPRCanubis	0.193881772849185	0.0354913381716567	0.0393562896443636	0.0227867042975616
9	1X0808	SNPRCanubis	0.208363837635821	0.0497290772121146	0.0554596666822398	0.0341750101543434
10	1X0832	SNPRCanubis	0.215190636694893	0.0504613219379288	0.0535682332204348	0.0329572651315226
11	1X0951	SNPRCanubis	0.221087421434051	0.0566301198605449	0.0613422875710971	0.038435298425847
12	1X1032	SNPRCanubis	0.220588535225073	0.0548855871180444	0.0588989349182466	0.0366077822831284
13	1X1125	SNPRCanubis	0.211376145992296	0.0517979256286751	0.0548908926894109	0.0349423207030188
14	1X1126	SNPRCanubis	0.211329555667649	0.0518071777398972	0.0546779240535793	0.0337239385990975
15	1X1146	SNPRCanubis	0.203715687257206	0.0471784187524969	0.0530212772937586	0.0316510908595364
16	1X1152	SNPRCanubis	0.196132961842761	0.0467857952225064	0.0500345978770115	0.0317465935997079
17	1X1181	SNPRCanubis	0.20196227932405	0.0455666221607023	0.0526340763023033	0.0321598998671195
18	1X1672	SNPRCanubis	0.203119184645286	0.0515587325280088	0.0500703975130437	0.0315288058241533
19	1X1700	SNPRCanubis	0.225325803861824	0.0617026589273846	0.0594445836260205	0.0394732221952261
20	1X1765	SNPRCanubis	0.218302027121204	0.056144340206931	0.0581226920500728	0.0368743575055432
21	1X1939	SNPRCanubis	0.199493236211828	0.0456354826610716	0.0516083735440389	0.0313359500689003
22	1X1947	SNPRCanubis	0.201807238634621	0.0466580403086319	0.0514495260602945	0.0309456811711527
23	1X2891	SNPRCanubis	0.209501866239092	0.0498253985704546	0.0573740834267711	0.0349420378559887
24	1X3162	SNPRCanubis	0.208338927362382	0.0514163282918675	0.0574532346759497	0.0354323070703862
25	panu_30877	Aberdares	0.307994612904396	0.151989593468497	0.11347477807667	0.094633278433921
26	panu_30977	Aberdares	0.204355458298455	0.050573586635805	0.0487492424455515	0.0317532495729973
27	panu_L142	SNPRCanubis	0.206488642805497	0.0514482432801988	0.0530600597504485	0.0349753943188003
28	panu_LIV5	SNPRCanubis	0.176128624496286	0.0313577723504549	0.0350841927987629	0.0199044002583464
