table_s1_id	population_or_species	sample_analyzed	known_ida	sexb	recent_hybridsc	historical_hybridsc	genome_wide_anubis_ancestryd	nodup_mapq10_coveraged	percent_reads_mappedd	BioProject_WGSEQ	Paper_WGSEQ	SRR_Accession_WGSEQ	Paper_RNASEQ_1..Tung_et_al_2015_eLIFE..PRJNA269070.	Paper_RNASEQ_2..Lea_et_al_2018_PNAS..PRJNA480672.	Paper_RNASEQ_3..Anderson_et_al_bioRxiv..PRJNA731520.
74	AMB_065	Amboseli	TRUE	TRUE	M	recent	NA	0.906	1.192	99.26		this_study		NA	NA	NA
75	AMB_303	Amboseli	TRUE	TRUE	M	recent	NA	0.827	1.108	99.19	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151908	NA	NA	NA
76	AMB_293	Amboseli	TRUE	TRUE	M	recent	NA	0.795	0.657	98.34	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151896	NA	NA	NA
78	AMB_027	Amboseli	TRUE	TRUE	M	recent	NA	0.707	1.123	99.33		this_study		NA	NA	NA
79	AMB_039	Amboseli	TRUE	TRUE	M	recent	NA	0.707	0.827	99.29		this_study		NA	NA	NA
80	AMB_300	Amboseli	TRUE	TRUE	M	recent	NA	0.701	1.375	99.19	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151905	NA	NA	NA
81	AMB_307	Amboseli	TRUE	TRUE	M	recent	NA	0.699	2.062	99.08	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151912	SRR1688537	NA	NA
82	AMB_079	Amboseli	TRUE	TRUE	M	recent	NA	0.645	1.112	99.2		this_study		NA	NA	NA
83	AMB_062	Amboseli	TRUE	TRUE	M	recent	NA	0.642	0.943	99.28		this_study		NA	NA	NA
84	AMB_036	Amboseli	TRUE	TRUE	M	recent	NA	0.637	0.805	98.7		this_study		NA	SRR7510465	NA
85	AMB_092	Amboseli	TRUE	TRUE	F	recent	NA	0.62	0.763	99.3		this_study		NA	NA	NA
86	AMB_304	Amboseli	TRUE	TRUE	M	recent	NA	0.617	0.577	99.24	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151909	NA	NA	NA
87	AMB_287	Amboseli	TRUE	TRUE	M	recent	NA	0.613	0.983	99.27		this_study		NA	SRR7510470	NA
88	AMB_357	Amboseli	TRUE	TRUE	M	recent	NA	0.609	0.809	99.21		this_study		NA	NA	NA
89	AMB_201	Amboseli	TRUE	TRUE	M	recent	NA	0.606	1.209	99.23		this_study		NA	NA	NA
90	AMB_238	Amboseli	TRUE	TRUE	F	recent	NA	0.598	1.236	99.38		this_study		SRR1688503	SRR7510438	NA
91	AMB_402	Amboseli	TRUE	TRUE	F	recent	NA	0.593	1.189	99.15		this_study		NA	NA	NA
92	AMB_315	Amboseli	TRUE	TRUE	M	recent	NA	0.593	1.064	99.06		this_study		NA	SRR7510404	NA
93	AMB_009	Amboseli	TRUE	TRUE	F	recent	NA	0.582	0.704	99.3		this_study		NA	SRR7510455	NA
94	AMB_283	Amboseli	TRUE	TRUE	M	recent	NA	0.581	1.58	99.23		this_study		NA	NA	NA
95	AMB_044	Amboseli	TRUE	TRUE	F	recent	NA	0.581	1.387	99.32		this_study		NA	SRR7510457	NA
96	AMB_308	Amboseli	TRUE	TRUE	M	recent	NA	0.575	1.338	99.28	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151913	SRR1688524	SRR7510419	NA
97	AMB_286	Amboseli	TRUE	TRUE	M	recent	NA	0.566	1.083	99.21		this_study		NA	SRR7510449	NA
98	AMB_289	Amboseli	TRUE	TRUE	F	recent	NA	0.563	1.761	99.01	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151893	NA	SRR7510484	NA
99	AMB_215	Amboseli	TRUE	TRUE	M	recent	NA	0.555	1.39	99.23		this_study		SRR1688533	NA	NA
100	AMB_064	Amboseli	TRUE	TRUE	M	recent	NA	0.553	0.766	99.27		this_study		NA	SRR7510490	NA
101	AMB_290	Amboseli	TRUE	TRUE	F	recent	NA	0.551	1.509	99.26	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151894	SRR1688485	SRR7510385	NA
102	AMB_228	Amboseli	TRUE	TRUE	M	recent	NA	0.549	1.732	98.95		this_study		NA	SRR7510429	NA
103	AMB_373	Amboseli	TRUE	TRUE	F	recent	NA	0.548	1.076	99.24		this_study		NA	NA	NA
104	AMB_390	Amboseli	TRUE	TRUE	M	recent	NA	0.546	0.868	99.24		this_study		NA	SRR7510480	NA
105	AMB_415	Amboseli	TRUE	TRUE	M	recent	NA	0.546	0.995	92.75		this_study		NA	NA	NA
106	AMB_023	Amboseli	TRUE	TRUE	F	recent	NA	0.544	1.185	99.27		this_study		NA	SRR7510447	NA
108	AMB_199	Amboseli	TRUE	TRUE	M	recent	NA	0.539	0.905	99.27		this_study		SRR1688504	NA	NA
109	AMB_011	Amboseli	TRUE	TRUE	M	recent	NA	0.537	0.802	99.23		this_study		NA	NA	NA
110	AMB_428	Amboseli	TRUE	TRUE	F	recent	NA	0.536	0.819	99.21		this_study		NA	NA	NA
111	AMB_010	Amboseli	TRUE	TRUE	M	recent	NA	0.531	1.028	99.24		this_study		NA	NA	NA
112	AMB_217	Amboseli	TRUE	TRUE	F	recent	NA	0.531	0.939	99.28		this_study		NA	NA	NA
113	AMB_364	Amboseli	TRUE	FALSE	NA	NA	NA	0.53	1.077	98.85		this_study		NA	NA	SRR14608247
114	AMB_329	Amboseli	TRUE	TRUE	M	recent	NA	0.526	0.791	99.25		this_study		NA	NA	NA
115	AMB_281	Amboseli	TRUE	TRUE	M	recent	NA	0.524	1.212	99.3		this_study		SRR1688510	NA	NA
116	AMB_125	Amboseli	TRUE	TRUE	F	recent	NA	0.523	1.065	99.29		this_study		NA	NA	NA
117	AMB_389	Amboseli	TRUE	TRUE	M	recent	NA	0.522	0.829	99.2		this_study		NA	NA	SRR14608286
118	AMB_008	Amboseli	TRUE	TRUE	M	recent	NA	0.522	1.118	99.14		this_study		NA	SRR7510453	NA
119	AMB_348	Amboseli	TRUE	TRUE	M	recent	NA	0.521	1.123	99.06		this_study		NA	NA	SRR14608265
120	AMB_223	Amboseli	TRUE	TRUE	M	recent	NA	0.517	1.276	99.25		this_study		SRR1688511	NA	NA
121	AMB_231	Amboseli	TRUE	TRUE	M	recent	NA	0.517	1.173	99.31		this_study		NA	NA	NA
122	AMB_301	Amboseli	TRUE	TRUE	M	recent	NA	0.514	34.811	99.05		this_study		NA	NA	NA
123	AMB_374	Amboseli	TRUE	TRUE	F	recent	NA	0.514	0.712	99.2		this_study		NA	NA	NA
124	AMB_353	Amboseli	TRUE	TRUE	M	recent	NA	0.511	0.916	99.21		this_study		NA	NA	NA
125	AMB_138	Amboseli	TRUE	TRUE	M	recent	NA	0.509	1.07	99.27		this_study		NA	NA	NA
126	AMB_317	Amboseli	TRUE	TRUE	M	recent	NA	0.508	39.203	98.87		this_study		NA	NA	NA
127	AMB_414	Amboseli	TRUE	TRUE	M	recent	NA	0.506	1.07	99.22		this_study		NA	SRR7510433	NA
128	AMB_309	Amboseli	TRUE	TRUE	M	recent	NA	0.506	1.4	99.18	PRJNA308870	Wall_et_al_2016_Mol_Eco	SRR3151914	SRR1688501	NA	NA
129	AMB_203	Amboseli	TRUE	FALSE	NA	NA	NA	0.496	1.154	99.03		this_study		NA	SRR7510396	NA
130	AMB_114	Amboseli	TRUE	TRUE	F	recent	NA	0.495	1.143	99.31		this_study		NA	NA	NA
131	AMB_001	Amboseli	TRUE	TRUE	F	recent	NA	0.493	0.742	99.23		this_study		NA	NA	NA
132	AMB_246	Amboseli	TRUE	TRUE	F	recent	NA	0.491	1.095	99.3		this_study		NA	SRR7510436	NA
133	AMB_427	Amboseli	TRUE	TRUE	F	recent	NA	0.488	0.82	99.12		this_study		NA	NA	SRR14608227
134	AMB_273	Amboseli	TRUE	TRUE	M	recent	NA	0.488	0.697	99.27		this_study		NA	SRR7510423	NA
135	AMB_412	Amboseli	TRUE	TRUE	M	recent	NA	0.485	0.649	99.07		this_study		NA	NA	SRR14608234
136	AMB_193	Amboseli	TRUE	TRUE	F	recent	NA	0.483	1.08	99.3		this_study		NA	NA	NA
137	AMB_422	Amboseli	TRUE	TRUE	M	recent	NA	0.482	1.026	99.16		this_study		NA	NA	SRR14608230
138	AMB_205	Amboseli	TRUE	TRUE	F	recent	NA	0.482	1.339	99.3		this_study		NA	SRR7510394	NA
139	AMB_271	Amboseli	TRUE	TRUE	F	recent	NA	0.481	1.214	99.31		this_study		SRR1688526	NA	NA
140	AMB_041	Amboseli	TRUE	TRUE	F	recent	NA	0.481	1.252	99.25		this_study		NA	NA	NA
141	AMB_344	Amboseli	TRUE	TRUE	F	recent	NA	0.479	0.794	99.16		this_study		NA	NA	SRR14608267
142	AMB_005	Amboseli	TRUE	TRUE	M	recent	NA	0.478	0.962	99.24		this_study		NA	NA	NA
143	AMB_279	Amboseli	TRUE	TRUE	F	recent	NA	0.477	1.104	99.35		this_study		NA	NA	NA
144	AMB_060	Amboseli	TRUE	TRUE	M	recent	NA	0.477	1.076	99.3		this_study		NA	SRR7510492	NA
145	AMB_145	Amboseli	TRUE	TRUE	M	recent	NA	0.476	0.997	99.15		this_study		NA	NA	NA
146	AMB_095	Amboseli	TRUE	TRUE	M	recent	NA	0.476	0.91	99.23		this_study		SRR1688495	SRR7510497	SRR14608258
147	AMB_262	Amboseli	TRUE	TRUE	F	recent	NA	0.475	1.04	99.31		this_study		SRR1688535	NA	NA
148	AMB_135	Amboseli	TRUE	TRUE	F	recent	NA	0.475	1.241	99.06		this_study		NA	NA	NA
