Order	studyid	year	dataset	ids	mass	sex	age
1	1	AMB_095	2017	TruCulture	11253_S1_L001	24.1	M	15.58932238
2	2	other_sample	2017	TruCulture	11257_S5_L001	20.9	M	8.706365503
3	3	AMB_348	2017	TruCulture	11261_S9_L001	14.7	M	6.590006845
4	4	AMB_127	2017	TruCulture	11265_S13_L001	23.2	M	13.4017796
5	5	other_sample	2017	TruCulture	11269_S17_L001	24.6	M	10.57357974
6	6	AMB_175	2017	TruCulture	11273_S21_L002	22.1	M	11.24709103
7	7	AMB_265	2017	TruCulture	11277_S25_L002	15.1	F	18.23408624
8	8	AMB_165	2017	TruCulture	11281_S29_L002	14.6	F	17.62354552
9	9	AMB_410	2017	TruCulture	11285_S33_L002	13.9	M	6.245037645
10	10	AMB_080	2017	TruCulture	11289_S37_L002	9.5	F	5.002053388
11	11	AMB_243	2017	TruCulture	11293_S41_L003	9.5	F	6.108145106
12	12	AMB_241	2017	TruCulture	11297_S45_L003	10.6	F	5.379876797
13	13	AMB_412	2017	TruCulture	11301_S49_L003	13.7	M	6.814510609
14	14	AMB_058	2017	TruCulture	11305_S53_L003	22.5	M	8.977412731
15	15	AMB_050	2017	TruCulture	11309_S57_L003	11.1	F	6.015058179
16	16	AMB_218	2017	TruCulture	11313_S61_L004	21.3	M	8.657084189
17	17	AMB_422	2017	TruCulture	11317_S65_L004	11.4	M	5.87816564
18	18	AMB_049	2017	TruCulture	11321_S69_L004	11	F	5.872689938
19	19	AMB_427	2017	TruCulture	11325_S73_L004	8.7	F	4.438056126
20	20	AMB_389	2018	TruCulture	13425_S47_L004	24.6	M	9.056810404
21	21	AMB_408	2018	TruCulture	13426_S48_L004	11.5	F	5.689253936
22	22	AMB_397	2018	TruCulture	13427_S49_L004	25.1	M	10.63107461
23	23	AMB_401	2018	TruCulture	13436_S58_L004	20.7	M	9.253935661
24	24	AMB_344	2018	TruCulture	13446_S68_L005	11.4	F	6.302532512
25	25	AMB_350	2018	TruCulture	13447_S69_L005	12.8	F	15.15400411
26	26	AMB_338	2018	TruCulture	13451_S73_L005	13.1	F	11.94798084
27	27	AMB_356	2018	TruCulture	13452_S74_L005	11.7	F	5.327857632
28	28	AMB_419	2018	TruCulture	13459_S81_L005	27.9	M	15.40862423
29	29	AMB_321	2018	TruCulture	13463_S85_L005	9.7	F	5.289527721
30	30	AMB_391	2018	TruCulture	13467_S89_L006	23.4	M	9.437371663
31	31	AMB_413	2018	TruCulture	13468_S90_L006	10.5	F	6.948665298
32	32	AMB_204	2018	TruCulture	13479_S101_L006	14.3	F	17.05954825
33	33	AMB_358	2018	TruCulture	13480_S102_L006	12.7	F	7.241615332
34	34	AMB_432	2018	TruCulture	13481_S103_L006	11.7	F	5.889117043
35	35	AMB_388	2018	TruCulture	13488_S109_L006	10.5	F	5.180013689
36	36	AMB_220	2018	TruCulture	13489_S111_L007	11.3	F	8.101300479
37	37	AMB_411	2018	TruCulture	13496_S118_L007	13	M	5.607118412
38	38	other_sample	2018	TruCulture	13497_S119_L007	21	M	10.06160164
39	39	AMB_405	2018	TruCulture	13498_S120_L007	11.1	F	5.470225873
40	40	AMB_426	2016	TruCulture	ACC-Null-RNAseq_S38_L006	15	M	6.335386721
41	41	AMB_002	2015	TruCulture	ACI-NULL_S29_L006	9.1	F	4.240930869
42	42	AMB_003	2013	TruCulture	ADD_NULL_AGTTCC_L005	24	M	18.45585216
43	43	AMB_006	2014	TruCulture	AGG-NULL_AGTCAA_L003	26.4	M	15.64681725
44	44	AMB_315	2013	TruCulture	ALE_NULL_ATCACG_L005	20.3	M	24.87611225
45	45	AMB_008	2013	TruCulture	ANC_NULL_AGTTCC_L006	21.3	M	11.1321013
46	46	AMB_009	2016	TruCulture	APP-Null-RNAseq_S53_L008	12.7	F	9.46201232
47	47	AMB_286	2014	TruCulture	ATE-NULL_GTCCGC_L004	NA	M	7.715263518
48	48	AMB_014	2016	TruCulture	BIK-Null-RNAseq_S33_L006	14.9	M	6.518822724
49	49	AMB_023	2016	TruCulture	CON-Null-RNAseq_S45_L007	16	F	10.55167693
50	50	AMB_025	2014	TruCulture	COT_NULL.pairedtrim	NA	M	9.839835729
51	51	AMB_030	2013	TruCulture	DEG_NULL_GTCCGC_L006	16.4	M	6.039698836
52	52	AMB_033	2013	TruCulture	DIB_NULL_GTGGCC_L005	13	F	5.727583847
53	53	AMB_036	2013	TruCulture	DJI_NULL_GAGTGG_L006	27.4	M	19.76454483
54	54	AMB_044	2015	TruCulture	ECL-NULL_S17_L005	11.3	F	9.289527721
55	55	AMB_045	2016	TruCulture	EID-Null-RNAseq_S15_L004	11.2	F	6.746064339
56	56	AMB_390	2015	TruCulture	EQU-NULL_S21_L005	14.1	M	5.763175907
57	57	AMB_054	2015	TruCulture	FAM-NULL_S23_L005	24.2	M	11.57015743
58	58	AMB_060	2013	TruCulture	FRU_NULL_ATCACG_L006	18.8	M	7.189596167
59	59	AMB_064	2014	TruCulture	GET-NULL_GTCCGC_L005	NA	M	7.685147159
60	60	AMB_068	2014	TruCulture	HAV-NULL_GTGGCC_L005	NA	F	11.36755647
