ancestry	expression	nearest_state
KOR	1	-0.272936662180752	1
GUR	1	0.220523181239475	1
LUO	0	0.353514089333834	0
OBL	0	0.0395805783841015	0
WIP	1	0.159444512841704	1
NOO	1	-0.501776712867728	1
YED	0	-0.0616906145970884	0
ILI	0	-0.0677892216979732	0
VOM	0	-0.0828911722322045	0
VIY	1	-0.361771571703992	1
NTA	0	0.403947015009818	0
FIL	1	-0.235978294108187	1
ERM	0	0.330978573303095	0
SUE	0	0.0779085592068753	0
PUP	0	0.0488482426327241	0
EPI	1	-0.106386475947997	1
RAF	1	0.0556269934730027	1
AKE	0	0.243242805605926	0
NIY	1	-0.469232507648489	1
AXE	1	-0.631259694190987	1
CEN	0	0.289081705998061	0
GUF	1	-0.216910410789405	1
EMI	0	-0.0592356897750861	0
DOJ	1	0.0535997380102531	1
FAU	0	0.347638816131477	0
DUV	1	-0.169273728355856	1
DOH	1	-0.208706357233027	1
HAG	0	-0.123701466480081	0
TAY	0	0.122606826254784	0
RHO	0	0.262313161230123	0
LIX	0	0.0598208175935664	0
RUN	0	0.281228410330893	0
USA	1	-0.116330545794503	1
TEL	1	-0.125717775228056	1
VAK	0	0.273628371256519	0
WOD	1	0.166618085756464	1
ACC	0	0.0310785994341725	0
ACI	0	-0.256335371373519	0
ADD	1	-0.807114301969484	1
AGG	0	-0.439356252616645	0
ALE	1	-0.116120507838621	1
ANC	0	0.0296035049062375	0
APP	2	-0.538645895085838	2
ATE	0	0.0517768426535126	0
BIK	2	-0.800412124724745	2
CON	1	-0.061953962940815	1
COT	0	-0.0203327735724805	0
DEG	1	0.237021884785934	1
DIB	1	-0.487278516906856	1
DJI	2	-0.586215804096539	2
ECL	0	0.0355890408348012	0
EID	0	0.19016516561333	0
EQU	0	0.152657795549451	0
FAM	0	0.0171751004031577	0
FRU	0	0.298564653908284	0
GET	1	0.103565235182074	1
HAV	1	-0.340951810505772	1
HIA	0	0.35237244741618	0
HON	0	0.212786581677431	0
KOR.1	1	-0.116969068767373	1
LAT	0	0.412276896879566	0
LEC	0	0.0812907150877802	0
LOU	0	0.155703951654488	0
LUV	0	0.00951291710800639	0
NEA	0	0.446464329540088	0
NEH	1	-0.36254834184793	1
NIK	1.94834	0.143356778731809	2
OBL.1	0	0.142658274170631	0
RAN	0	0.100657451543093	0
RIE	0	0.737261696072181	0
RIF	0	-0.25853957818516	0
RIG	1.92475	-0.337336193558898	2
ELA	0	0.0765965383697074	0
ENV	1	0.0490928502849668	1
NYS	1	-0.399189915469172	1
SAH	0	0.0385919262059913	0
TEL.1	1	-0.310303826738107	1
LAO	0	0.355773437727065	0
HAV.1	1	0.00293634643172425	1
NET	1	-0.220021063514383	1
LAT.1	0	-0.111517364379187	0
LAW	0	0.0806319344304969	0
THR	0	-0.351246298729105	0
RIK	0	-0.221679494402313	0
DHO	0	-0.0666781523557898	0
NIK.1	1.94834	-0.130791161699836	2
VEI	0	0.225868351984817	0
ODE	0	-0.244191660648156	0
SCE	0	0.538731143551096	0
OTI	0	0.327652553596836	0
OPH	1	-0.751443557826654	1
LOF	0	-0.00662205198078247	0
OCE	1	-0.366890842749505	1
LUT	1	-0.174400052820006	1
MAD	0	0.446038329891516	0
KOR.2	1	-0.402146226636924	1
KIZ	0	0.373662120155058	0
FAX	0	0.369251845502966	0
NAP	1	-0.568078996209358	1
LOG	1	0.0567520517776074	1
NOK	1	-0.305329334857211	1
WOL	1.11388	-0.629037940870615	1
LUX	0	0.304170280751569	0
VIN	1	0.0228763807635763	1
QUA	1	-0.332843177287896	1
VAZ	0	0.0193804257789481	0
WIZ	0	0.794424643489089	0
EAS	0	0.809484435941425	0
HOK	1	0.208121391602337	1
LAX	0	0.542286329807725	0
ZAM	0	0.569213681533734	0
TOR	1	-0.059659651176541	1
CAR	0	0.414146037222674	0
LYC	1	-0.175156344100674	1
FAM.1	0	0.437745096906538	0
VEX	1	-0.274943121730509	1
WEN	0	0.0582984611086879	0
HUC	0	0.158709950482538	0
DED	1	0.0212203836602836	1
LOU.1	0	0.209255522213681	0
PIT	0	0.214723935104042	0
NOZ	0	0.1490020255701	0
BAT	2	-0.986327908947207	2
BUT	1	0.164986994031076	1
YOK	0	0.138309230688415	0
LYB	0	0.00218630001643749	0
WON	1	-0.130952058893359	1
EUR	1	0.0607218549616348	1
AMO	0	-0.36981893427226	0
EVA	0	0.287294755667109	0
NJU	1	-0.042730582976465	1
COO	0	0.081312007662814	0
WRI	1	-0.563636722676764	1
SCO	0	0.427694926756458	0
KIJ	0	-0.00809794284930909	0
WHE	0	0.0766383575808316	0
CAC	0	0.358243285099364	0
GAM	1	0.193182372083335	1
WEI	2	-1.14883667324804	2
BOL	0	-0.488469887040432	0
TER	0	0.543221048103815	0
TRU	0	0.303170006188134	0
TUS	0	-0.030689463104137	0
UNY	0	0.276025190139709	0
VES	0	-0.0362075951155436	0
VIG	0	0.190174926410079	0
VIN.1	1	-0.461993571064063	1
VUG	1	-0.0579552449687313	1
WEG	0	0.126825626122298	0
WEY	1	0.043056824760983	1
WOC	0	0.0732682009748586	0
WRI.1	1	-0.465221965675208	1
WYA	1	-0.00919382168941763	1
YEL	0	-0.149428156771655	0
YOK.1	0	0.184060054969295	0
YUG	0	0.269619117359706	0
ZIZ	1	0.331166281973035	1
