Order	studyid	year	dataset	mass	sex	age
1	1	AMB_095	2017	TruCulture	24.1	M	15.58932238
2	2	other_sample	2017	TruCulture	20.9	M	8.706365503
3	3	AMB_348	2017	TruCulture	14.7	M	6.590006845
4	4	AMB_127	2017	TruCulture	23.2	M	13.4017796
5	5	other_sample	2017	TruCulture	24.6	M	10.57357974
6	6	AMB_175	2017	TruCulture	22.1	M	11.24709103
7	7	AMB_265	2017	TruCulture	15.1	F	18.23408624
8	8	AMB_165	2017	TruCulture	14.6	F	17.62354552
9	9	AMB_410	2017	TruCulture	13.9	M	6.245037645
10	10	AMB_080	2017	TruCulture	9.5	F	5.002053388
11	11	AMB_243	2017	TruCulture	9.5	F	6.108145106
12	12	AMB_241	2017	TruCulture	10.6	F	5.379876797
13	13	AMB_412	2017	TruCulture	13.7	M	6.814510609
14	14	AMB_058	2017	TruCulture	22.5	M	8.977412731
15	15	AMB_050	2017	TruCulture	11.1	F	6.015058179
16	16	AMB_218	2017	TruCulture	21.3	M	8.657084189
17	17	AMB_422	2017	TruCulture	11.4	M	5.87816564
18	18	AMB_049	2017	TruCulture	11	F	5.872689938
19	19	AMB_427	2017	TruCulture	8.7	F	4.438056126
20	20	AMB_389	2018	TruCulture	24.6	M	9.056810404
21	21	AMB_408	2018	TruCulture	11.5	F	5.689253936
22	22	AMB_397	2018	TruCulture	25.1	M	10.63107461
23	23	AMB_401	2018	TruCulture	20.7	M	9.253935661
24	24	AMB_344	2018	TruCulture	11.4	F	6.302532512
25	25	AMB_350	2018	TruCulture	12.8	F	15.15400411
26	26	AMB_338	2018	TruCulture	13.1	F	11.94798084
27	27	AMB_356	2018	TruCulture	11.7	F	5.327857632
28	28	AMB_419	2018	TruCulture	27.9	M	15.40862423
29	29	AMB_321	2018	TruCulture	9.7	F	5.289527721
30	30	AMB_391	2018	TruCulture	23.4	M	9.437371663
31	31	AMB_413	2018	TruCulture	10.5	F	6.948665298
32	32	AMB_204	2018	TruCulture	14.3	F	17.05954825
33	33	AMB_358	2018	TruCulture	12.7	F	7.241615332
34	34	AMB_432	2018	TruCulture	11.7	F	5.889117043
35	35	AMB_388	2018	TruCulture	10.5	F	5.180013689
36	36	AMB_220	2018	TruCulture	11.3	F	8.101300479
37	37	AMB_411	2018	TruCulture	13	M	5.607118412
38	38	other_sample	2018	TruCulture	21	M	10.06160164
39	39	AMB_405	2018	TruCulture	11.1	F	5.470225873
40	40	AMB_426	2016	TruCulture	15	M	6.335386721
41	41	AMB_002	2015	TruCulture	9.1	F	4.240930869
42	42	AMB_003	2013	TruCulture	24	M	18.45585216
43	43	AMB_006	2014	TruCulture	26.4	M	15.64681725
44	44	AMB_315	2013	TruCulture	20.3	M	24.87611225
45	45	AMB_008	2013	TruCulture	21.3	M	11.1321013
46	46	AMB_009	2016	TruCulture	12.7	F	9.46201232
47	47	AMB_286	2014	TruCulture	NA	M	7.715263518
48	48	AMB_014	2016	TruCulture	14.9	M	6.518822724
49	49	AMB_023	2016	TruCulture	16	F	10.55167693
50	50	AMB_025	2014	TruCulture	NA	M	9.839835729
51	51	AMB_030	2013	TruCulture	16.4	M	6.039698836
52	52	AMB_033	2013	TruCulture	13	F	5.727583847
53	53	AMB_036	2013	TruCulture	27.4	M	19.76454483
54	54	AMB_044	2015	TruCulture	11.3	F	9.289527721
55	55	AMB_045	2016	TruCulture	11.2	F	6.746064339
56	56	AMB_390	2015	TruCulture	14.1	M	5.763175907
57	57	AMB_054	2015	TruCulture	24.2	M	11.57015743
58	58	AMB_060	2013	TruCulture	18.8	M	7.189596167
59	59	AMB_064	2014	TruCulture	NA	M	7.685147159
60	60	AMB_068	2014	TruCulture	NA	F	11.36755647
61	61	AMB_071	2016	TruCulture	9.8	F	5.00752909
62	62	AMB_289	2015	TruCulture	14.7	F	18.04791239
63	63	AMB_095	2014	TruCulture	NA	M	12.56399726
64	64	AMB_101	2014	TruCulture	NA	M	17.22108145
65	65	AMB_107	2014	TruCulture	NA	M	9.563312799
66	66	AMB_121	2015	TruCulture	25.5	M	11.95071869
67	67	AMB_130	2015	TruCulture	10.9	F	5.590691307
68	68	AMB_147	2014	TruCulture	NA	F	5.845311431
69	69	AMB_149	2016	TruCulture	19.8	M	8.054757016
70	70	other_sample	2016	TruCulture	22.3	M	8.807665982
71	71	AMB_290	2015	TruCulture	14	F	17.4017796
72	72	AMB_175	2014	TruCulture	NA	M	8.24366872
73	73	AMB_202	2016	TruCulture	12.8	F	15.05544148
74	74	other_sample	2016	TruCulture	11.1	F	5.719370294
75	75	AMB_205	2016	TruCulture	10.1	F	4.687200548
76	76	AMB_206	2014	TruCulture	NA	M	7.006160164
77	77	AMB_403	2016	TruCulture	20.8	M	7.608487337
78	78	AMB_210	2016	TruCulture	9.5	F	6.058863792
79	79	AMB_046	2015	TruCulture	10.1	F	6.581793292
80	80	AMB_048	2015	TruCulture	12.3	F	5.363449692
81	81	AMB_172	2015	TruCulture	11.3	F	4.752908966
82	82	AMB_212	2015	TruCulture	17.8	M	7.178644764
