table_s1_id genome_wide_anubis_ancestry sex entry_type start_year end_year
AMB_001 0.493 F B 1998 2008
AMB_426 0.337 M B 2010 2021
AMB_002 0.317 F B 2011 2021
AMB_003 0.421 M I 2005 2014
AMB_004 0.286 M I 2006 2007
AMB_005 0.478 M I 2013 2017
AMB_006 0.274 M I 2011 2019
AMB_007 0.295 M I 2012 2019
AMB_389 0.522 M I 2018 2021
AMB_315 0.593 M I 1994 2014
AMB_366 0.287 M B 1995 2009
AMB_008 0.522 M I 2012 2018
AMB_300 0.701 M I 2003 2014
AMB_009 0.582 F B 2007 2021
AMB_306 0.331 M I 2007 2008
AMB_010 0.531 M I 2004 2011
AMB_286 0.566 M I 2013 2021
AMB_011 0.537 M I 2014 2021
AMB_397 0.444 M I 2016 2021
AMB_012 0.276 M I 2006 2009
AMB_013 0.383 F B 2005 2011
AMB_440 0.3 F B 1986 1996
AMB_014 0.433 M B 2010 2021
AMB_394 0.291 F O 1984 2004
AMB_015 0.388 F B 2007 2017
AMB_331 0.28 F B 1990 1994
AMB_016 0.356 M I 2010 2014
AMB_017 0.36 M I 2010 2018
AMB_360 0.282 M B 1987 2004
AMB_018 0.291 F B 1998 2015
AMB_019 0.383 F B 2004 2018
AMB_020 0.288 M B 2000 2009
AMB_336 0.439 F B 1997 2018
AMB_021 0.303 M B 2002 2018
AMB_022 0.278 F B 1985 1996
AMB_401 0.42 M B 2009 2021
AMB_313 0.236 F B 1983 2007
AMB_023 0.544 F B 2005 2021
AMB_024 0.446 M B 2001 2015
AMB_025 0.368 M B 2004 2017
AMB_026 0.299 M I 1983 1994
AMB_442 0.318 M B 1988 1997
AMB_406 0.302 F O 1984 2003
AMB_027 0.707 M B 2000 2017
AMB_437 0.318 F B 1990 2004
AMB_434 0.306 F B 1991 2004
AMB_353 0.511 M B 2008 2009
AMB_028 0.301 M B 2000 2020
AMB_380 0.295 M B 1989 1997
AMB_431 0.305 F B 1984 2004
AMB_029 0.376 F B 2004 2018
AMB_030 0.444 M B 2007 2020
AMB_031 0.302 M I 1991 1995
AMB_032 0.288 F B 2003 2021
AMB_033 0.439 F B 2007 2021
AMB_333 0.444 F B 2001 2009
AMB_373 0.548 F B 2008 2009
AMB_370 0.319 F B 1987 2003
