#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
chr1	250000	500000	0.392652	0.607348	51128	76710	75127	47035	0	0	250000
chr1	500000	750000	0.466680	0.528724	58807	65387	66794	57863	1149	0	250000
chr1	750000	1000000	0.486312	0.513688	64836	65316	63106	56742	0	0	250000
chr1	1000000	1250000	0.443472	0.556128	52650	68147	70885	58218	100	0	250000
chr1	1250000	1500000	0.420084	0.579916	49370	71268	73711	55651	0	0	250000
chr1	1500000	1750000	0.403816	0.596184	49293	73850	75196	51661	0	0	250000
chr1	1750000	2000000	0.442268	0.557732	53040	69199	70234	57527	0	0	250000
chr1	2000000	2250000	0.429504	0.570480	53332	70334	72286	54044	4	0	250000
chr1	2250000	2500000	0.417708	0.581892	52649	73889	71584	51778	100	0	250000
chr1	2500000	2750000	0.427140	0.572860	54257	72888	70327	52528	0	0	250000
chr1	2750000	3000000	0.491028	0.508972	60337	62147	65096	62420	0	0	250000
chr1	3000000	3250000	0.518284	0.481716	61049	59025	61404	68522	0	0	250000
chr1	3250000	3500000	0.521648	0.475232	65243	59463	59345	65169	780	0	250000
chr1	3500000	3750000	0.496252	0.503748	60660	61596	64341	63403	0	0	250000
chr1	3750000	4000000	0.559432	0.440568	70821	55458	54684	69037	0	0	250000
chr1	4000000	4250000	0.558480	0.441120	71866	55168	55112	67754	100	0	250000
chr1	4250000	4500000	0.536852	0.462748	69478	58425	57262	64735	100	0	250000
chr1	4500000	4750000	0.487112	0.512888	65925	65678	62544	55853	0	0	250000
chr1	4750000	5000000	0.472544	0.527456	62517	66458	65406	55619	0	0	250000
chr1	5000000	5250000	0.456040	0.543960	60942	69054	66936	53068	0	0	250000
chr1	5250000	5500000	0.450860	0.545560	57536	68881	67509	55179	895	0	250000
chr1	5500000	5750000	0.552388	0.447212	65913	55294	56509	72184	100	0	250000
chr1	5750000	6000000	0.520508	0.479092	59500	58283	61490	70627	100	0	250000
chr1	6000000	6250000	0.545828	0.454172	64208	55855	57688	72249	0	0	250000
chr1	6250000	6500000	0.471444	0.527856	57982	65642	66322	59879	175	0	250000
chr1	6500000	6750000	0.538892	0.461108	66346	56916	58361	68377	0	0	250000
chr1	6750000	7000000	0.556024	0.443976	68860	55281	55713	70146	0	0	250000
chr1	7000000	7250000	0.519432	0.480568	66466	59450	60692	63392	0	0	250000
chr1	7250000	7500000	0.588360	0.411240	80290	54035	48775	66800	100	0	250000
chr1	7500000	7750000	0.563632	0.436368	75517	56720	52372	65391	0	0	250000
chr1	7750000	8000000	0.514780	0.485220	65211	62658	58647	63484	0	0	250000
chr1	8000000	8250000	0.479380	0.520620	59164	64016	66139	60681	0	0	250000
