gene_ID	length
A1BG	2992.5
A1CF	4126.25
A2ML1	5620
A3GALT2	2197
A4GALT	2577.16666666667
A4GNT	3254
AAAS	1750.33333333333
AACS	3278
AADAC	1780
AADACL2	3072
AADACL3	3281.75
AADACL4	2923
AADAT	1738.25
AAGAB	2702
AAK1	8398.90909090909
AAMDC	527
AAMP	1826
AANAT	3589
AAR2	2268
AARD	1443
AARS1	3472
AARS2	3796.5
AASDH	6674.25
AASDHPPT	2854
AASS	5005.77777777778
AATF	2310.4
AATK	5835.83333333333
ABAT	5010
ABCA1	9180.4
ABCA10	7236.71428571429
ABCA12	8907
ABCA13	17275
ABCA2	8882
ABCA4	9475
ABCA5	5095.25
ABCA6	5901
ABCA7	3789.33333333333
ABCA8	5430
ABCA9	6844.66666666667
ABCB1	4439.25
ABCB10	3811.33333333333
ABCB11	4990
ABCB4	4995.75
ABCB5	7024
ABCB6	3170
ABCB7	2585
ABCB8	2678.5
ABCB9	3170
ABCC1	6269
ABCC10	4829.5
ABCC11	4684
ABCC12	4527.75
ABCC2	5649.33333333333
ABCC3	4808
ABCC4	5487.875
ABCC5	5071
ABCC6	5139
ABCC8	4831.1
ABCC9	6345.5
ABCD1	3671
ABCD2	6132
ABCD3	4488.42857142857
ABCE1	3558
ABCF1	3234.33333333333
ABCF3	2573.75
ABCG1	6501.6
ABCG2	2876.33333333333
ABCG4	3642.66666666667
ABCG5	2330.33333333333
ABCG8	3170
ABHD1	1376
ABHD10	2697
ABHD11	1709.66666666667
ABHD12	1697
ABHD12B	2128
ABHD13	6321.5
ABHD14A	1524.33333333333
ABHD14B	2274
ABHD15	2879
ABHD16B	1764
ABHD17A	3265
ABHD17B	2673.5
ABHD17C	2544
ABHD18	1954.5
ABHD2	4036
ABHD3	1193
ABHD4	2500.33333333333
ABHD5	2380.66666666667
ABHD6	2445
ABHD8	2089
ABI1	3175.5
ABI2	3410.25
ABI3	1691.69230769231
ABI3BP	6185.9375
ABITRAM	2001.66666666667
ABL1	7762.5
ABL2	10060
ABLIM1	3844.62962962963
ABLIM2	6448.2972972973
ABLIM3	4229.54545454545
ABO	1270
ABR	3020.83333333333
ABRA	2753
ABRACL	821
ABRAXAS1	2092.5
ABRAXAS2	2975
ABT1	816
ABTB1	2385.57142857143
ABTB2	4850
ACAA1	1797
ACAA2	1979
ACACA	9463.33333333333
ACACB	9568.33333333333
ACAD10	3466.42857142857
ACAD11	3325.5
ACAD8	2341
ACAD9	3183.5
ACADL	1567.66666666667
ACADM	2452
ACADS	1855.33333333333
ACADSB	2107.5
ACADVL	2950
ACAN	9015
ACAP1	2502
ACAP2	7266.15384615385
ACAP3	3944.18181818182
ACAT1	1525
ACAT2	1526
ACBD3	3567
ACBD4	2139.66666666667
ACBD5	4502.81818181818
ACBD6	3761.25
ACCS	2277.85714285714
ACCSL	4638
ACD	2039.5
ACE2	3549
ACER1	1712
ACER2	2484.5
ACER3	2022.2
ACHE	2470.375
ACIN1	4466.6
ACKR1	1356
ACKR2	5641.5
ACKR3	2544.2
ACKR4	2182.5
ACLY	4320.5
ACMSD	1275.33333333333
ACO1	3519
ACO2	2771
ACOD1	2069.5
ACOT11	3298.6
ACOT12	2082.66666666667
ACOT13	744
